공원명,행정동,위도,경도
벽운 근린공원, 상계1동,37.68068531121212, 127.05751881235065
원터 근린공원,상계6.7동,37.65091867047456, 127.06467364118492
느티울 근린공원,상계6.7동,37.64939717395541, 127.05751013933734
당현천 근린공원,상계6.7동,37.64787845700477, 127.06342891234952
마들 체육공원,상계6.7동,37.64407536744455, 127.05852676817248
상계 근린공원,상계8동,37.669198975835556, 127.05053601050263
갈말 근린공원,상계8동,37.665960685841, 127.05431231235015
갈울 근린공원,상계9동,37.667034582522945, 127.06101076817338
온수 근린공원,상계10동,37.661333627148345, 127.0641175393377
노해 근린공원,중계1동,37.64913614305768, 127.07097516817267
양지 근린공원,중계1동,37.647363178608686, 127.07538951234949
달맞이 근린공원,중계2.3동,37.65399080229555, 127.060775699713
중계 근린공원,중계2.3동,37.64001988698929, 127.06580731234924
등나무문화공원,중계2.3동,37.64060771117623, 127.06704395283104
가재울 근린공원,중계2.3동,37.64873000673272, 127.0663137951605
삿갓봉 근린공원,중계4동,37.658186078468866, 127.0760103663254
충숙 근린공원,하계1동,37.64096041485212, 127.0768529393371
골마을 근린공원,하계1동,37.638847306241, 127.07402628166618
한글비 근린공원,월계1동,37.644978550651714, 127.07432533933718
영축산 근린공원,월계2동,37.62532544927705, 127.05739629885473
초안산 근린공원,월계3동,37.639185840973376, 127.04678624840183
비석골 근린공원,공릉2동,37.6314542000589, 127.04885410127326
한내 근린공원,공릉2동,37.62511087686544, 127.06928371755384
공릉동 근린공원,공릉2동,37.620879727066544, 127.08641011234867
솔밭 근린공원,공릉2동,37.6234101149384, 127.08818438351332
한무리문화공원,공릉2동,37.63068162304865, 127.07346473933674
