,상호명,상권업종대분류명,상권업종중분류명,상권업종소분류명,행정동명,경도,위도
0,삼성서울병원,의료,병원,종합병원,일원본동,127.08476966175522,37.48832151166073
1,타워광명내과의원,의료,병원,내과/외과,도곡2동,127.053198,37.48874184
49,오리진,의료,병원,일반병원,신사동,127.0268171,37.52443448
144,경희한의원,의료,병원,한의원,역삼1동,127.0302018,37.49367331
159,리더스서울외과내과,의료,병원,내과/외과,역삼1동,127.029201,37.49585466
227,바롬치과,의료,병원,치과의원,신사동,127.0268687,37.51958724
370,아침나라한의원,의료,병원,한의원,논현2동,127.0415697,37.51558063
385,SNUH,의료,병원,종합병원,역삼1동,127.0358248,37.49963027
390,이창훈이비인후과,의료,병원,이비인후과의원,역삼1동,127.0363239,37.50127426
394,힐락의원,의료,병원,내과/외과,신사동,127.0197774,37.5168705
399,CCL치과,의료,병원,치과의원,논현1동,127.0261159,37.50526331
408,신동화한의원,의료,병원,한의원,논현2동,127.0399522,37.51998266
417,대자인한의원,의료,병원,한의원,압구정동,127.0392906,37.52482494
451,김수균모발외과,의료,병원,내과/외과,대치2동,127.0657143,37.5052047
584,동민치과의원,의료,병원,치과의원,도곡1동,127.0343467,37.48530942
644,바른해치과,의료,병원,치과의원,도곡2동,127.0527073,37.49536069
1216,W치과,의료,병원,치과의원,대치1동,127.0629032,37.49392823
1640,진용한안과,의료,병원,안과의원,삼성2동,127.0494968,37.50507532
1671,김경원치과의원,의료,병원,치과의원,압구정동,127.029429,37.52367205
1729,강남유외과의원,의료,병원,내과/외과,역삼1동,127.0278175,37.49877171
1828,LA이플란트치과,의료,병원,치과의원,대치1동,127.0591471,37.4931595
1934,신안과,의료,병원,안과의원,대치1동,127.0610261,37.49392233
1963,더블유클리닉,의료,병원,내과/외과,논현1동,127.0221613,37.51188942
2008,심내과과의원,의료,병원,내과/외과,대치1동,127.0610261,37.49392233
2027,웃는내일치과의원,의료,병원,치과의원,대치1동,127.0556519,37.49142862
2105,이지코헨의원,의료,병원,일반병원,청담동,127.0413754,37.52722967
2151,ENI치과,의료,병원,치과의원,논현1동,127.0261095,37.5092369
2229,연세합동비뇨기의원,의료,병원,비뇨기과,역삼1동,127.0360781,37.50192101
2315,황제한의원,의료,병원,한의원,삼성2동,127.0542568,37.51059194
2372,이보다치과,의료,병원,치과의원,논현1동,127.0246477,37.50509802
2392,강남서울치과,의료,병원,치과의원,도곡2동,127.0519866,37.48885828
2414,본디올한의원,의료,병원,한의원,대치2동,127.0658971,37.49961058
2468,진비뇨기과,의료,병원,비뇨기과,논현1동,127.0332981,37.50789031
2469,덴포유치과,의료,병원,치과병원,논현1동,127.0230393,37.51135605
2483,캥거루어린이한의원,의료,병원,한의원,대치4동,127.0503834,37.5020549
2486,경희인,의료,병원,한의원,역삼1동,127.0302018,37.49367331
2529,드림한마음한의원,의료,병원,한의원,대치2동,127.0589896,37.50300681
2582,홍순호치과,의료,병원,치과의원,논현1동,127.0201413,37.51585533
2658,이규호모아름한의원,의료,병원,한의원,신사동,127.0197774,37.5168705
2670,아이렌아이센터,의료,병원,안과의원,압구정동,127.0393713,37.52559149
2706,봄치과,의료,병원,치과의원,대치2동,127.06272,37.50768592
2729,백운당한의원,의료,병원,한의원,역삼2동,127.0448574,37.49903686
2788,강흥석치과의원,의료,병원,치과의원,대치2동,127.0629734,37.49917294
2845,디올메디칼허브,의료,병원,일반병원,청담동,127.0489305,37.52474978
2974,대가연,의료,병원,내과/외과,대치4동,127.0520306,37.50415858
3088,한국한의원,의료,병원,한의원,도곡2동,127.053198,37.48874184
3098,엘제이연세비료기과,의료,병원,비뇨기과,압구정동,127.0287117,37.52402658
4066,고안과의원,의료,병원,안과의원,도곡2동,127.052724,37.49582937
4108,새빛안과,의료,병원,안과의원,역삼1동,127.0285648,37.49783175
4227,강남유클리닉,의료,병원,내과/외과,역삼1동,127.0278175,37.49877171
4245,사랑채한의원,의료,병원,한의원,일원1동,127.0876532,37.49152691
4275,연세진치과,의료,병원,치과의원,삼성1동,127.0606881,37.51458087
4285,서울대학교병원,의료,병원,종합병원,역삼1동,127.0364871,37.50001411
4320,효성한의원,의료,병원,한의원,대치2동,127.0706094,37.49991807
4338,나도균한의원,의료,병원,한의원,논현2동,127.0401215,37.51648795
4468,김도균혈관외과,의료,병원,내과/외과,압구정동,127.0284948,37.52242993
4499,경희수풀림한의원,의료,병원,한의원,개포1동,127.0586406,37.48395566
4602,도곡유디치과,의료,병원,치과의원,도곡1동,127.0335177,37.486465
4655,김소형한의원,의료,병원,한의원,압구정동,127.0286028,37.52282728
4671,엠케이서울치과의원,의료,병원,치과의원,대치1동,127.0629032,37.49392823
5043,백향치과,의료,병원,치과의원,논현1동,127.0288659,37.51387299
5095,새서울치과의원,의료,병원,치과의원,압구정동,127.02863,37.52334111
5100,예일이비인후과의원,의료,병원,이비인후과의원,역삼1동,127.027137,37.49979331
5116,김형주치과의원,의료,병원,치과의원,신사동,127.0228615,37.5180494
5132,홍내과의원,의료,병원,내과/외과,논현2동,127.032095,37.51959415
5162,낙원치과의원,의료,병원,치과의원,청담동,127.0572173,37.52161748
5285,강동병원,의료,병원,일반병원,대치2동,127.0706094,37.49991807
5447,이인길,의료,병원,신경외과,수서동,127.1018421,37.48801336
5474,윤덕기치과,의료,병원,치과의원,대치2동,127.0699862,37.49727306
5481,권오중외과,의료,병원,내과/외과,압구정동,127.0317321,37.52842148
5668,아시아덴탈파트너스,의료,병원,치과의원,논현2동,127.0404025,37.51839145
5685,오준규,의료,병원,일반병원,청담동,127.0412907,37.52677845
5723,강남연세의원,의료,병원,일반병원,대치4동,127.0514358,37.50021619
5787,변한의원,의료,병원,한의원,대치1동,127.0556519,37.49142862
